ct2010full,boro,count,pop0518,Pct_PrivVeh,medhhinc1,AADT1,frag_index
36047048800,Brooklyn,4,898,0.1928,45108,14638,-1.3134
36047048900,Brooklyn,3,874,0.1174,20943,24573,0.5514
36047049000,Brooklyn,30,995,0.1922,34306,43892,-0.1787
36047049100,Brooklyn,12,972,0.1554,33739,11637,1.5263
36047049200,Brooklyn,11,614,0.2699,43350,20681,-1.2497
36047049300,Brooklyn,16,1142,0.0917,32508,19565,0.7613
36047049400,Brooklyn,12,757,0.2332,47441,43892,-0.9453
36047049500,Brooklyn,10,182,0.111,65500,16816,1.4412
36047049600,Brooklyn,9,713,0.1697,64009,14638,-1.0982
36047049700,Brooklyn,3,103,0.09,75694,145592,2.1296
36047049800,Brooklyn,0,648,0.2243,51795,27531,-1.343
36047049900,Brooklyn,3,103,0.1773,77868,37662,0.7299
36047050000,Brooklyn,2,409,0.1667,75496,105184,0.4278
36047050100,Brooklyn,1,154,0.1005,73155,145592,2.132
36047050202,Brooklyn,0,240,0.1628,75875,6574,0.2801
36047050300,Brooklyn,2,202,0.1254,67610,16413,0.8946
36047050400,Brooklyn,6,550,0.1777,86719,67978,-0.2166
36047050500,Brooklyn,7,509,0.1498,25775,9274,0.2791
36047050600,Brooklyn,14,1038,0.1644,44271,14194,1.114
36047050700,Brooklyn,20,782,0.1607,31458,11637,-0.6075
36047050801,Brooklyn,29,721,0.0949,42024,23221,1.0087
36047050803,Brooklyn,3,360,0.1513,41585,23221,2.2831
36047050804,Brooklyn,24,1022,0.1293,50200,21017,0.1696
36047050900,Brooklyn,16,1527,0.2614,30625,11637,-2.4167
36047051001,Brooklyn,8,703,0.125,44538,22957,-0.7643
36047051002,Brooklyn,13,812,0.0996,43702,22957,0.0123
36047051100,Brooklyn,5,451,0.1063,31369,9298,1.5441
36047051200,Brooklyn,11,1161,0.0951,37400,14194,0.6285
36047051300,Brooklyn,8,374,0.0826,66599,145592,1.3399
36047051400,Brooklyn,18,1225,0.2159,45712,22957,0.1114
36047051500,Brooklyn,5,67,0.1507,91875,10014,0.88
36047051601,Brooklyn,17,1075,0.1991,31062,22957,-0.6552
36047051602,Brooklyn,9,719,0.2208,38802,22957,1.8504
36047051700,Brooklyn,0,68,0.1029,95714,9355,2.104
36047051800,Brooklyn,18,445,0.2196,66515,19752,0.5552
36047051900,Brooklyn,3,188,0.0747,84739,9876,2.9982
36047052000,Brooklyn,4,712,0.1153,51544,16524,-1.7094
36047052300,Brooklyn,21,650,0.0658,45000,83933,0.3031
36047052500,Brooklyn,15,736,0.1794,17189,83933,0.2374
36047052600,Brooklyn,10,657,0.1404,59278,10682,-0.163
36047052700,Brooklyn,7,1044,0.086,27829,116050,0.6024
36047052800,Brooklyn,1,336,0.3012,81438,5150,-1.7044
36047052900,Brooklyn,13,949,0.2403,31685,116050,-1.9344
36047053000,Brooklyn,5,687,0.2798,40833,5464,-0.4698
36047053100,Brooklyn,19,2510,0.2768,35750,13583,-2.459
36047053200,Brooklyn,7,421,0.3827,57692,15642,-0.8473
36047053300,Brooklyn,13,1639,0.1434,21633,116050,-1.9995
36047053400,Brooklyn,14,930,0.1915,23832,15642,0.6933
36047053500,Brooklyn,26,1163,0.1466,20441,13583,-0.905
36047053700,Brooklyn,22,1221,0.2455,23207,116050,-3.6804
36047053800,Brooklyn,9,585,0.4643,26571,13241,2.4782
36047053900,Brooklyn,6,734,0.2228,23125,9378,-2.4805
36047054200,Brooklyn,3,858,0.2888,39615,11257,-0.6901
36047054400,Brooklyn,1,558,0.3291,58145,17753,-0.3691
36047054500,Brooklyn,5,2443,0.2585,15588,9378,-0.4483
36047054600,Brooklyn,14,565,0.3364,36731,21062,1.0975
36047054700,Brooklyn,13,1462,0.1263,39830,9378,0.4635
36047054800,Brooklyn,8,384,0.4218,61742,21062,-2.2248
36047054900,Brooklyn,5,537,0.1229,62196,84543,1.4339
36047055000,Brooklyn,12,538,0.2587,43975,44657,2.2447
36047055100,Brooklyn,2,430,0.0996,62295,9378,0.8854
36047055200,Brooklyn,11,498,0.157,39178,17753,0.4731
36047055300,Brooklyn,0,138,0.0747,74559,9355,2.9987
36047055400,Brooklyn,6,574,0.2413,50317,17753,1.5935
36047055500,Brooklyn,0,148,0.1099,107539,9378,4.0385
36047055600,Brooklyn,9,705,0.3912,49456,6559,-0.7664
36047055700,Brooklyn,1,59,0.1129,85956,9378,2.4559
36047055800,Brooklyn,6,384,0.3487,53506,8719,-0.6765
36047056000,Brooklyn,4,499,0.277,47317,44657,-0.5533
36047056100,Brooklyn,5,253,0.124,78514,10014,2.4208
36047056200,Brooklyn,4,346,0.5042,69167,13600,-4.241
36047056300,Brooklyn,1,324,0.0805,53807,10014,1.8875
36047056400,Brooklyn,13,349,0.4402,71399,18501,-3.0471
