census_tract,ped_injury_5to18,youth_pop_5to18,commute_priv_vehicle,med_hhincome,avg_ann_daily_traffic,fragment_index
36005028300,17,581,0.297383029,29643,22332,1.531832888
36005028400,3,89,0.322033898,96094,84853,2.085196766
36005028500,3,320,0.310040706,48681,12144,3.649604133
36005028600,2,154,0.403614458,53191,17755,4.621284649
36005028700,3,528,0.238848921,49476,17139.66667,0.98769868
36005028800,4,456,0.506418485,74306,13719,-0.81464666
36005028900,18,680,0.227812323,43672,16943,2.739406058
36005029301,1,163,0.426582278,106563,8266,-0.155867408
36005029302,3,463,0.384292795,94652,63544,0.531471372
36005029500,2,431,0.291423813,95250,12144,0.161513325
36005029600,1,184,0.175563464,50286,44654,3.377893108
36005029700,4,415,0.434104357,92869,80484,0.652011463
36005030000,5,792,0.537751964,47851,9127,1.55903094
36005030100,0,96,0.52360515,81500,8266,1.824992702
36005030200,5,1235,0.500805153,53570,136546,-0.378391361
36005030701,0,581,0.470038249,81061,4844,1.280707572
36005030900,0,289,0.394932936,87464,2504,0.388847711
36005031000,9,536,0.693986163,99688,21324,-4.076633679
36005031200,0,212,0.54251497,60400,21324,-3.842461964
36005031400,2,240,0.526838966,82083,11749,-3.155213812
36005031600,1,324,0.610640871,64702,8494,-1.329349728
36005031800,0,226,0.418331375,52692,8494,-2.582343048
36005032300,0,473,0.463478261,81914,8628,1.933118469
36005032400,7,519,0.356118143,28832,9066,0.211525663
36005032600,6,457,0.609128631,68603,9066,-1.120675369
36005032800,9,789,0.293478261,37344,14678,-0.341078578
36005033000,25,957,0.149439103,39018,14678,0.761035379
36005033201,14,542,0.308,44602,14678,1.01787901
36005033202,6,614,0.429311621,40083,10157,2.229425521
36005033500,0,286,0.315422886,87798,80484,0.273753187
36005033600,5,1216,0.324723247,32355,19546,-0.152054489
36005033700,3,405,0.496791934,81250,8628,0.321983349
36005033800,8,754,0.338960162,36667,8494,0.492042928
36005034000,3,917,0.268052516,37337,14678,1.121884004
36005034200,6,336,0.397228637,43250,14678,-1.561463187
36005034300,1,233,0.469918699,70194,11876,0.940950859
36005034400,3,334,0.497670084,68750,14678,-4.216623804
36005034500,0,445,0.421943574,62973,11876,1.347575737
36005034800,9,1218,0.255909944,36233,18427,-2.311302045
36005035000,9,389,0.5168,57292,8494,-0.617526138
36005035100,1,262,0.364553314,70215,80484,1.973366571
